Region;United States;Alabama;Alaska;Arizona;Arkansas;California;Colorado;Connecticut;Delaware;District of Columbia;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming
Total:;331893760;5039877;732673;7276316;3025891;39237836;5812069;3605597;1003384;670050;21781128;10799566;1441553;1900923;12671469;6805985;3193079;2934582;4509394;4624047;1372247;6165129;6984723;10050811;5707390;2949965;6168187;1104271;1963692;3143991;1388992;9267130;2115877;19835912;10551162;774948;11780017;3986639;4246155;12964056;1095610;5190705;895376;6975218;29527940;3337975;645570;8642274;7738692;1782959;5895908;578803
Male:;164350700;2445896;383121;3629620;1493681;19618934;2943037;1768045;485908;319025;10714520;5270144;725604;954313;6264364;3374931;1603267;1474610;2229328;2260866;673483;3003091;3408252;4976869;2860668;1435423;3045181;560911;986019;1585207;693234;4563560;1052355;9696573;5149323;399544;5808575;1984707;2121532;6399632;536589;2521689;451950;3413181;14739011;1694770;320293;4273931;3897320;887360;2955249;296007
M Under 5 years;9552445;149482;24610;203199;91430;1129355;158361;90173;27366;20882;558584;324241;41816;57222;361831;207700;97221;92451;134032;141470;31287;176219;175289;277827;169996;91938;180792;29274;63287;89569;31316;264291;58869;559527;297747;26359;342295;126131;107629;346765;27114;141024;29295;202597;967416;121524;14046;245127;222442;45684;162402;15941
M 5 to 9 years;10284656;154786;25627;232179;103629;1210580;171525;98412;30336;16256;584591;336789;43610;69263;402856;220964;104872;100779;143655;150974;32380;195317;183343;304660;184804;88936;196092;35082;68491;100122;34840;284187;66059;571628;311648;27139;372616;138419;124157;370098;27238;158706;31517;217844;1059471;137346;16659;262391;240844;49093;174157;17689
M 10 to 14 years;11155383;168349;27616;238758;103556;1356668;194453;110865;29397;18773;663644;401326;47596;70331;406943;241099;109818;107211;152246;163667;40033;202613;209335;320312;197981;110601;209921;36786;74198;105351;41107;300468;73574;607612;355206;26880;384540;145061;131170;407551;32979;165384;32299;226632;1119382;142772;18586;292819;250892;57988;201375;21659
M 15 to 17 years;6668042;97886;15130;148878;64563;795876;112199;71193;17499;8029;390630;233924;24825;43612;261633;144511;70924;64272;90354;94832;23352;121801;127743;197786;117959;65766;125530;20798;43369;62636;24595;186907;41890;363689;211026;13339;234704;84276;82188;247366;20121;102940;19481;136680;667645;88835;10936;165511;144356;32574;118872;12601
M 18 and 19 years;4503114;70364;12751;98426;42899;519127;79285;52780;12489;8933;248076;159264;16023;26865;174436;99838;49114;45083;62778;58384;15555;75834;102375;138551;76140;46129;87697;13302;29028;36372;20339;115790;31200;256763;152312;11457;158884;57233;52519;172620;18063;76216;12556;89813;433922;50176;10661;121994;91778;22942;80211;7767
M 20 years;2266660;38216;5426;52218;23946;264334;39041;29294;7371;3857;128908;72318;8993;11354;84088;45576;26817;19883;33156;35387;10438;36840;51744;68880;35954;21451;42698;6759;12411;18902;9179;55792;11883;123615;77269;6618;85630;32991;25588;85369;8693;38511;5165;49258;209304;29706;5962;63133;50495;12558;40275;3406
M 21 years;2237052;32896;6997;50061;23728;264533;34120;24638;6933;3821;135268;75976;9557;13667;79339;49054;25956;21931;32167;32425;6568;40854;47485;69799;37811;17690;40559;7538;14948;19839;8089;55521;11872;126509;72769;7709;77698;32513;24882;83558;8966;39649;6146;46045;201538;28342;4986;67481;50715;12250;38847;4809
M 22 to 24 years;6421318;90846;14254;149541;57527;774545;119881;68429;15315;12771;367870;223232;29235;37165;243796;140428;64163;64757;86817;90208;21702;114689;137622;193503;104941;61450;116152;25004;40899;55017;25382;167201;44640;370181;212245;19940;214735;78350;80390;227539;22192;91475;18725;128288;619096;86620;12611;166277;150948;33521;118562;10641
M 25 to 29 years;11211933;158157;28641;259719;90573;1451544;228128;114578;30962;31596;667814;359404;49293;61407;426504;227128;100028;97203;148735;145904;38844;196103;242060;337300;185994;87144;196993;35598;64516;110881;46150;292665;71726;678244;337963;29815;386421;133513;143183;419130;34240;157773;27966;237448;1051919;129696;18834;293027;289731;50114;191180;18444
M 30 to 34 years;11595901;153644;30684;256794;101401;1544298;243564;114035;32662;36538;722140;361455;53048;63619;430619;217471;96954;96539;146572;154936;43725;209282;248049;334207;193650;86096;200038;36684;63743;118764;46662;306592;71936;716645;343415;29668;387902;135097;157997;443832;39252;165259;29358;225105;1098366;118537;19751;296746;314598;51084;187840;19048
M 35 to 39 years;11321797;150970;28937;241186;96300;1447270;233686;115718;30810;29786;684473;359198;50931;61574;439310;224285;105680;108380;145972;160542;43304;215731;235722;303974;203509;95223;202890;37761;67209;114091;41497;319485;71465;666415;330786;27916;374790;137174;156078;429509;35550;155132;32621;230276;1076985;124976;19193;296033;286209;55561;197651;22073
M 40 to 44 years;10702211;163681;23642;227304;95229;1325861;208015;108298;29949;24524;684405;342737;45545;66072;410071;218330;103343;86474;142064;146871;39691;192641;210846;303673;190078;91855;197933;34711;65925;107728;42972;294779;70656;609107;330557;26270;357642;128822;146768;382352;33526;162928;25146;217532;1022769;114989;19338;290887;277075;58272;183153;19175
M 45 to 49 years;9867371;144396;21497;209506;85808;1220258;184585;105090;26196;18070;651154;332281;41446;57514;389878;200857;88143;81637;132339;128116;38932;185788;201737;284389;165277;86669;172527;31347;55274;99007;39480;287817;58498;572049;320850;20238;339981;112774;132946;368027;30552;145336;23695;207962;919269;97056;17720;260321;232922;54361;168371;17428
M 50 to 54 years;10418635;156348;22185;216335;90929;1259407;180367;122229;29746;17494;695703;350018;44186;52573;405405;207560;93712;83160;142742;130569;46359;197206;227132;324082;174724;84778;184225;31574;54254;103456;50129;314957;57023;639466;343300;20623;371877;112861;133071;422191;35154;157605;25292;224065;894828;86315;21496;275257;241203;59392;186793;17279
M 55 to 59 years;10438687;164793;22239;209309;97392;1219498;165243;122925;32104;15337;712467;330941;45436;51796;410090;212065;96157;88662;145132;144219;51745;202347;236255;341671;186150;88714;192805;34332;59829;100618;51569;323669;61537;652214;331201;23344;375715;114327;127068;427607;35175;155385;25780;217665;843200;78753;22997;276727;233605;60089;204533;16256
M 60 and 61 years;4333806;66387;10968;90655;35717;480397;71714;53697;14223;8454;308258;127134;19685;24728;168371;92420;47373;38161;59286;56406;23835;83989;98719;140610;76178;34580;87010;16356;25351;37019;22930;125675;26130;273167;140138;10750;157780;49793;53773;186682;16771;66998;14517;89362;333224;32130;9276;111309;96388;23629;87178;8525
M 62 to 64 years;6179950;95462;12241;127114;53781;663324;109714;77112;21667;8363;416927;183462;24759;36161;233954;126429;63122;56160;86925;85069;28502;117002;135310;207122;115894;57702;125300;22912;35560;59585;32533;179829;42269;381640;187749;13558;243874;74671;77865;276446;22407;107421;17746;134085;461326;43804;14766;159367;145763;38196;125343;12657
M 65 and 66 years;3714128;59694;10299;77086;34928;398808;63612;44086;11672;5109;258396;113301;16704;23862;140162;76266;39166;31781;51163;54866;18804;61681;74739;125486;66816;34206;76912;15477;23067;36710;18663;107537;25999;229111;113068;9545;146684;42745;52517;161030;13092;62020;11978;77800;275197;28258;10062;93693;86403;23336;73118;7413
M 67 to 69 years;4985777;72401;10109;113451;43547;522492;88988;57893;20509;6976;372028;137417;24433;26925;183625;103645;53633;47069;70776;70892;28554;91352;112766;170399;87456;44312;95804;22277;31402;45918;26040;137826;34194;295997;158737;10901;187933;57760;68992;221762;17106;85730;15091;108924;359248;39121;11800;128118;116595;33462;102180;11211
M 70 to 74 years;7204611;117433;14491;177194;68272;759788;116597;76774;26015;9876;576353;204230;37899;43795;270699;143024;72253;62048;102130;96642;40862;125350;154055;235125;128236;64676;133300;29698;39863;72670;36510;184617;53552;428294;238432;16432;273728;84394;111118;314996;26219;133118;22223;156268;501905;49583;18569;179868;168783;51872;139917;14865
M 75 to 79 years;4420293;70083;7818;126043;44137;460577;65879;50174;16052;6967;419381;119942;26570;27264;156375;83671;42717;37208;58310;56998;24015;73682;91601;143767;69571;38591;84992;18216;24843;48613;20676;116794;30857;265862;143354;9103;153904;53028;63078;189798;15044;79615;13091;96153;304851;30787;10356;110938;99082;30413;81623;7829
M 80 to 84 years;2695951;42140;3808;73150;25976;294746;40631;30161;9547;3081;253922;69864;12671;15000;105645;50893;27049;24933;35353;35594;13524;48371;55548;84292;49612;23206;52351;11531;14557;23892;12617;75991;21449;162774;83354;6149;99229;29728;37748;114668;7983;43851;7051;53720;185357;18786;6203;65433;57799;18805;50849;5359
M 85 years and over;2170982;27482;3151;51514;18413;255648;33449;29491;7088;3532;213528;51690;11343;12544;78734;41717;25052;18828;26624;25895;11472;38399;48777;69454;41937;13710;42660;7894;13995;18447;9959;65170;15077;146064;56197;5791;80013;23046;30807;100736;9152;29613;5211;39659;132793;16658;5485;51474;48694;12164;40819;3932
